article,name,stock,avg_cost,sale_price,base
00000456ш,Сапоги ЭВА Вездеход (СВ-73Ш) р.45,0.0,,,Шишина
00000819ш,Сапоги ЭВА мужские укороченные р.,0.0,,,Шишина
00000868ш,Ботинки лыж. Spine Snowway NNN р.35-36,3.0,,,Шишина
00000177ш,Ботинки лыж. Spine Kids Velcro р.31-32,0.0,,,Шишина
00000419ш,Сапоги Дарина(Фазан) р.43,1.0,,,Шишина
00000270ш,Ботинки лыж. Tisa Skate NNN р.39,0.0,,,Шишина
00000428ш,Сапоги ЭВА Woodline Power кам.(-60) р.43            Каблан,0.0,,,Шишина
00000411ш,"Полукомбинезон рыбацкий Рокс р.30,0",0.0,,,Шишина
00000650ш,Сапоги рыбацкие Дарина  Д-21Б р.42,0.0,,,Шишина
00000784ш,Сапоги ПВХ САП166-03 р.41,0.0,,,Шишина
00000278ш,Ботинки лыж. Tisa Sport Ladi NNN р.40,0.0,,,Шишина
00000168ш,Ботинки лыж. Spine Kids Pro 339/1 р.32,0.0,,,Шишина
00000736ш,"Сапоги ЭВА Nerpa  (-60 ) р.35/36 (цветные,женские)",0.0,,,Шишина
00000337ш,Сапоги ЭВА Кайра  р.,0.0,,,Шишина
00000670ш,Ботинки лыж. Spine Relax  115 (NNN) р.32,0.0,,,Шишина
00000341ш,Полусапожки Рысь ЭВА р.39/40,6.0,,,Шишина
00000117ш,Ботинки лыж. Loss 243 (NNN) р.35,10.0,,,Шишина
00000858ш,Сапоги ЭВА Woodline (920-70PW) р.45/46                                                    Speci.All,1.0,,,Шишина
00000104ш,Ботинки лыж. Loss 243 (NNN) р.40,6.0,,,Шишина
00000100ш,Ботинки лыж. Loss 243 (NNN) р.36,1.0,,,Шишина
00000740ш,Сапоги ЭВА Nordman Kleo 6-028  р.37/38,6.0,,,Шишина
00000273ш,Ботинки лыж. Tisa Skate NNN р.43,0.0,,,Шишина
00000559ш,Сапоги рыбацкие ПВХ (Sardonix САП167-02) р.43,0.0,,,Шишина
00000607ш,Куртка Remingon Shark (TM1034-306),0.0,,,Шишина
